uts,utc_time,artist,artist_mbid,album,album_mbid,track,track_mbid
"1727214472","24 Sep 2024, 21:47","Ty Dolla $ign","7bd66c18-cb33-49aa-9279-140acedbdb49","Beach House 3 (Deluxe Edition)","","Lil Favorite (feat. MadeinTYO)",""
"1727193253","24 Sep 2024, 15:54","Ty Dolla $ign, Tory Lanez","","Beach House 3","","Droptop in the Rain (feat. Tory Lanez)",""
"1727193251","24 Sep 2024, 15:54","Ty Dolla $ign","7bd66c18-cb33-49aa-9279-140acedbdb49","Beach House 3 (Deluxe Edition)","","Droptop in the Rain (feat. Tory Lanez)",""
"1727193056","24 Sep 2024, 15:50","Ty Dolla $ign, MadeinTYO","","Beach House 3","","Lil Favorite (feat. MadeinTYO)",""
"1727193054","24 Sep 2024, 15:50","Ty Dolla $ign","7bd66c18-cb33-49aa-9279-140acedbdb49","Beach House 3 (Deluxe Edition)","","Lil Favorite (feat. MadeinTYO)",""
"1727192886","24 Sep 2024, 15:48","Don Toliver","a0723a3c-4135-438e-85c5-012712144ede","HARDSTONE PSYCHO","","glock",""
"1727192884","24 Sep 2024, 15:48","Don Toliver","a0723a3c-4135-438e-85c5-012712144ede","HARDSTONE PSYCHO","","glock",""
"1727190241","24 Sep 2024, 15:04","Soulja Boy","","","","Fuck Bow Wow (2009 Bow Wow Diss)",""
"1727190026","24 Sep 2024, 15:00","Soulja Boy","","","","Fuck Bow Wow (2009 Bow Wow Diss)",""
"1727187371","24 Sep 2024, 14:16","Pusha T, Pharrell Williams","","My Name Is My Name","","S.N.I.T.C.H.",""
"1727187120","24 Sep 2024, 14:12","Pusha T, Future","","My Name Is My Name","","Pain",""
"1727186903","24 Sep 2024, 14:08","Pusha T, Kendrick Lamar","","My Name Is My Name","","Nosetalgia",""
"1727186680","24 Sep 2024, 14:04","Pusha T, 2 Chainz, Big Sean","","My Name Is My Name","","Who I Am",""
"1727186401","24 Sep 2024, 14:00","Pusha T, Kelly Rowland","","My Name Is My Name","","Let Me Love You",""
"1727181045","24 Sep 2024, 12:30","Pusha T, Jeezy, Kevin Cossom","","My Name Is My Name","","No Regrets",""
"1727171578","24 Sep 2024, 09:52","Pusha T, Ab-Liva","","My Name Is My Name","","Suicide",""
"1727171236","24 Sep 2024, 09:47","Pusha T, Rick Ross","","My Name Is My Name","","Hold On",""
"1727171016","24 Sep 2024, 09:43","Pusha T, Chris Brown","","My Name Is My Name","","Sweet Serenade",""
"1727170864","24 Sep 2024, 09:41","Pusha T, Chris Brown","","My Name Is My Name","","Sweet Serenade",""
"1727170698","24 Sep 2024, 09:38","Pusha T","14ecd19f-7121-4192-8549-e5056241a42f","My Name Is My Name","188a1c7b-6d5c-4fa7-8224-cff5bb4703a6","Numbers on the Boards","7779d37b-47fa-4dac-b98f-fe5485ecf785"
"1727170525","24 Sep 2024, 09:35","Pusha T","14ecd19f-7121-4192-8549-e5056241a42f","My Name Is My Name","188a1c7b-6d5c-4fa7-8224-cff5bb4703a6","King Push","9ed05894-d910-48b2-8db9-32174d673b29"
"1727169220","24 Sep 2024, 09:13","TheyCallHimAP","","Memoirs Of A Ghetto Summer","","Trip To Florida",""
"1727169075","24 Sep 2024, 09:11","350heem","","The Poet","","Snares & Bass",""
"1727168945","24 Sep 2024, 09:09","Fat Money","","Money Got Wings","","Aww Man",""
"1727168767","24 Sep 2024, 09:06","FAT MONEY, Pusha T","","Cinco De Money 8: Part 3","","Immunity",""
"1727168616","24 Sep 2024, 09:03","Jay-Z, Beyoncé","","The Blueprint 2: The Gift & The Curse","","03' Bonnie & Clyde",""
"1727168425","24 Sep 2024, 09:00","FAT MONEY, Pusha T","","Cinco De Money 8: Part 3","","Immunity",""
"1727167805","24 Sep 2024, 08:50","Stevie Wonder","1ee18fb3-18a6-4c7f-8ba0-bc41cdd0462e","Songs in the Key of Life","0131ea0f-c3af-471c-8274-a183a7ab5f0b","Joy Inside My Tears","08342e6d-da8f-41fc-9ee3-58d459641848"
"1727167411","24 Sep 2024, 08:43","Stevie Wonder","1ee18fb3-18a6-4c7f-8ba0-bc41cdd0462e","Songs in the Key of Life","0131ea0f-c3af-471c-8274-a183a7ab5f0b","Isn't She Lovely",""
"1727167123","24 Sep 2024, 08:38","Stevie Wonder","1ee18fb3-18a6-4c7f-8ba0-bc41cdd0462e","Songs in the Key of Life","0131ea0f-c3af-471c-8274-a183a7ab5f0b","Ordinary Pain","0765d145-4b47-3e29-8729-f4ed2bfdaa4b"
"1727161771","24 Sep 2024, 07:09","Stevie Wonder","1ee18fb3-18a6-4c7f-8ba0-bc41cdd0462e","Songs in the Key of Life","0131ea0f-c3af-471c-8274-a183a7ab5f0b","Ordinary Pain","0765d145-4b47-3e29-8729-f4ed2bfdaa4b"
"1727161517","24 Sep 2024, 07:05","Stevie Wonder","1ee18fb3-18a6-4c7f-8ba0-bc41cdd0462e","Songs in the Key of Life","0131ea0f-c3af-471c-8274-a183a7ab5f0b","Summer Soft","0b6c9959-fdee-4b32-adcd-c3b9d05dfa6b"
"1727161309","24 Sep 2024, 07:01","Stevie Wonder","1ee18fb3-18a6-4c7f-8ba0-bc41cdd0462e","Songs in the Key of Life","0131ea0f-c3af-471c-8274-a183a7ab5f0b","Pastime Paradise","bd8c2adf-51c9-4f42-a82f-39ede534cb8d"
"1727161093","24 Sep 2024, 06:58","Stevie Wonder","1ee18fb3-18a6-4c7f-8ba0-bc41cdd0462e","Songs in the Key of Life","0131ea0f-c3af-471c-8274-a183a7ab5f0b","Knocks Me Off My Feet","a8a618b4-ce18-4c01-bb09-9d4a46499f47"
"1727160840","24 Sep 2024, 06:54","Stevie Wonder","1ee18fb3-18a6-4c7f-8ba0-bc41cdd0462e","Songs in the Key of Life","0131ea0f-c3af-471c-8274-a183a7ab5f0b","I Wish","a6b7b260-2aa3-4779-8114-c76360edf9ce"
"1727160607","24 Sep 2024, 06:50","Stevie Wonder","1ee18fb3-18a6-4c7f-8ba0-bc41cdd0462e","Songs in the Key of Life","0131ea0f-c3af-471c-8274-a183a7ab5f0b","Sir Duke",""
"1727160380","24 Sep 2024, 06:46","Stevie Wonder","1ee18fb3-18a6-4c7f-8ba0-bc41cdd0462e","Songs in the Key of Life","0131ea0f-c3af-471c-8274-a183a7ab5f0b","Contusion","007c15a9-65b4-3085-94c0-5b1f5af56e05"
"1727160175","24 Sep 2024, 06:42","Stevie Wonder","1ee18fb3-18a6-4c7f-8ba0-bc41cdd0462e","Songs in the Key of Life","0131ea0f-c3af-471c-8274-a183a7ab5f0b","Village Ghetto Land","e464e504-70a3-48c3-b13d-f5757dcf11dc"
"1727160012","24 Sep 2024, 06:40","Stevie Wonder","1ee18fb3-18a6-4c7f-8ba0-bc41cdd0462e","Songs in the Key of Life","0131ea0f-c3af-471c-8274-a183a7ab5f0b","Have a Talk with God","05dedda2-7b7d-4529-a7de-287b80ecfd9e"
"1727159586","24 Sep 2024, 06:33","Stevie Wonder","1ee18fb3-18a6-4c7f-8ba0-bc41cdd0462e","Songs in the Key of Life","0131ea0f-c3af-471c-8274-a183a7ab5f0b","Love's in Need of Love Today","d19057fd-e162-401a-8c60-7a31d1ef38f6"
"1727158211","24 Sep 2024, 06:10","Linkin Park","f59c5520-5f46-4d2c-b2c4-822eabf53419","Minutes to Midnight","012514b5-dc0f-4418-b67a-c6a8d3af4096","Bleed It Out","77bfaa37-1470-4e3e-9461-d8ec794a8d72"
"1727157949","24 Sep 2024, 06:05","Linkin Park","f59c5520-5f46-4d2c-b2c4-822eabf53419","Hybrid Theory (Bonus Edition)","","In the End","4240ee2f-3da3-355f-9a4e-8480c0cb520a"
"1727157788","24 Sep 2024, 06:03","Linkin Park","f59c5520-5f46-4d2c-b2c4-822eabf53419","Meteora","01e51f7c-4b95-4ae3-a707-181b74b1ebab","Faint","674bb261-8b98-4e98-a748-ffb52c66cc3a"
"1727157602","24 Sep 2024, 06:00","Linkin Park","f59c5520-5f46-4d2c-b2c4-822eabf53419","Meteora","01e51f7c-4b95-4ae3-a707-181b74b1ebab","Numb","84132518-8590-4b7c-af36-1e92d3792926"
"1727113592","23 Sep 2024, 17:46","Arcade Player","","Mario Kart Wii, The Themes","","Rainbow Road (From ""Mario Kart Wii"")",""
"1727113427","23 Sep 2024, 17:43","Arcade Player","","Super Mario Galaxy, Greatest Themes & Sounds","","Gusty Garden Galaxy",""
"1727113144","23 Sep 2024, 17:39","Video Game Music Box","","Music Box Classics: Mario","6db3af5f-f6ca-4c23-8036-c3a421d7e269","Gusty Garden (from ""Super Mario Galaxy"")","f8425f53-4379-43fc-9c29-b37c2b952a90"
"1727112904","23 Sep 2024, 17:35","Ty Dolla $ign","7bd66c18-cb33-49aa-9279-140acedbdb49","Beach House 3 (Deluxe Edition)","","Droptop in the Rain (feat. Tory Lanez)",""
"1727112766","23 Sep 2024, 17:32","Ty Dolla $ign","7bd66c18-cb33-49aa-9279-140acedbdb49","Beach House 3 (Deluxe Edition)","","Lil Favorite (feat. MadeinTYO)",""
"1727112560","23 Sep 2024, 17:29","Stevie Wonder","1ee18fb3-18a6-4c7f-8ba0-bc41cdd0462e","Songs in the Key of Life","0131ea0f-c3af-471c-8274-a183a7ab5f0b","Pastime Paradise","bd8c2adf-51c9-4f42-a82f-39ede534cb8d"
"1727112438","23 Sep 2024, 17:27","Nas","cfbc0924-0035-4d6c-8197-f024653af823","NASIR","18923608-0293-40e7-87a6-97ff964a877b","Simple Things","0af70983-1646-4a97-922e-a0c4bbe3086f"
"1727111961","23 Sep 2024, 17:19","Nas","cfbc0924-0035-4d6c-8197-f024653af823","NASIR","18923608-0293-40e7-87a6-97ff964a877b","Adam and Eve",""
"1727111712","23 Sep 2024, 17:15","Nas","cfbc0924-0035-4d6c-8197-f024653af823","NASIR","18923608-0293-40e7-87a6-97ff964a877b","Everything",""
"1727111580","23 Sep 2024, 17:13","Nas","cfbc0924-0035-4d6c-8197-f024653af823","NASIR","18923608-0293-40e7-87a6-97ff964a877b","Bonjour","025f4c80-951b-4e8e-a322-8dd1990b5bd6"
"1727111483","23 Sep 2024, 17:11","Nas","cfbc0924-0035-4d6c-8197-f024653af823","NASIR","18923608-0293-40e7-87a6-97ff964a877b","White Label","9e8bb173-7d25-4992-a408-ce8951125fe6"
"1727111317","23 Sep 2024, 17:08","Nas","cfbc0924-0035-4d6c-8197-f024653af823","NASIR","18923608-0293-40e7-87a6-97ff964a877b","Cops Shot The Kid",""
"1727111162","23 Sep 2024, 17:06","Nas","cfbc0924-0035-4d6c-8197-f024653af823","NASIR","18923608-0293-40e7-87a6-97ff964a877b","Not For Radio","4db64146-ab61-4538-9a43-18cfbaf5c2ed"
"1727110921","23 Sep 2024, 17:02","Jay Electronica","8bf283b9-b1e2-4632-a953-eacd212a543e","A Written Testimony","1820d5a1-a4cd-416c-9ecb-3ca959333b6c","The Neverending Story","037dd292-6906-4927-b82e-a119e7e83970"
"1727101151","23 Sep 2024, 14:19","Linkin Park","f59c5520-5f46-4d2c-b2c4-822eabf53419","Living Things","03fd5af1-c3b8-455a-8b31-adbc50f5a7f7","Castle of Glass","53dae548-3a00-4fab-85f1-9721cdb057e1"
"1727101025","23 Sep 2024, 14:17","Linkin Park","f59c5520-5f46-4d2c-b2c4-822eabf53419","Meteora","01e51f7c-4b95-4ae3-a707-181b74b1ebab","Numb","84132518-8590-4b7c-af36-1e92d3792926"
